algorithm,data_type,structure,size,mean_time,std_dev,min_time,max_time,pivot_strategy
Bubble Sort,integer,random,1000,0.0669043499976396,0.0029980986013794,0.0616230409941636,0.0688363749650307,
Bubble Sort,integer,sorted,1000,6.279160734266043e-05,4.3276721208575e-06,6.020802538841963e-05,7.050001295283437e-05,
Insertion Sort,integer,random,1000,0.0244923249818384,0.0014576739312214,0.0227743749856017,0.0264844169723801,
Insertion Sort,integer,sorted,1000,0.0001292253960855,5.546754541286649e-06,0.0001242089783772,0.0001362090115435,
Selection Sort,integer,random,1000,0.0248831415898166,0.0013759359879382,0.0232805419946089,0.0268552499474026,
Merge Sort,integer,random,1000,0.0027317916159518,0.0003196763485097,0.0023778750328347,0.0030971670057624,
Merge Sort,integer,sorted,1000,0.0024142252048477,0.0001873774680254,0.0022253330098465,0.0026154170045629,
Merge Sort,integer,random,10000,0.0357206585933454,0.0019127063640849,0.0338457499747164,0.0386965419747866,
Quick Sort,integer,random,1000,0.0015334999887272,5.724048367941227e-05,0.0014835839974693,0.0016298749833367,middle
Quick Sort,integer,sorted,1000,0.0009290912072174,5.939378539265184e-05,0.0008901659748516,0.0010325830080546,middle
Quick Sort,integer,random,10000,0.0213594083790667,0.0004702185186516,0.0205327500007115,0.0216483749682083,middle
Heap Sort,integer,random,1000,0.0031881501898169,0.000265694984518,0.003039416973479,0.003660874965135,
Heap Sort,integer,random,10000,0.0417756163980811,0.0012240144180609,0.0403023750404827,0.043678208021447,
Counting Sort,integer,random,1000,0.1853951247991062,0.0050840625228319,0.1794188750209286,0.1911850000033155,
Radix Sort,integer,random,1000,0.0020287500112317,0.0001226114129474,0.0018720420193858,0.0021589579991996,
Radix Sort,integer,random,10000,0.0200668666046112,0.0014921941767094,0.0181106250383891,0.0222068749717436,
Tim Sort,integer,random,1000,0.0021815750049427,0.0001622068872706,0.0019810000085271,0.002382792008575,
Tim Sort,integer,sorted,1000,0.0005013745976611,4.3964195894262625e-05,0.0004626660374924,0.0005764159723185,
Merge Sort,float,random,1000,0.0031224415986798,0.0001689033138103,0.0029094169731251,0.0033667079987935,
Merge Sort,string,random,1000,0.0032304167980328,0.0002551200152386,0.0029505420243367,0.0035445419489406,
