structure,algorithm,mean_time,std_dev
random,Bubble Sort,0.0669043499976396,0.0029980986013794
random,Counting Sort,0.1853951247991062,0.0050840625228319
random,Heap Sort,0.022481883293948998,0.00074485470128945
random,Insertion Sort,0.0244923249818384,0.0014576739312214
random,Merge Sort,0.01120132715150245,0.000664101510410875
random,Quick Sort,0.011446454183896951,0.00026372950116550616
random,Radix Sort,0.01104780830792145,0.0008074027948284
random,Selection Sort,0.0248831415898166,0.0013759359879382
random,Tim Sort,0.0021815750049427,0.0001622068872706
sorted,Bubble Sort,6.279160734266043e-05,4.3276721208575e-06
sorted,Insertion Sort,0.0001292253960855,5.546754541286649e-06
sorted,Merge Sort,0.0024142252048477,0.0001873774680254
sorted,Quick Sort,0.0009290912072174,5.939378539265184e-05
sorted,Tim Sort,0.0005013745976611,4.3964195894262625e-05
